"Front";"Back";"Tags"
"<strong>In a multi-company setup, how can you allow a customer record to be shared across all companies?</strong><br><br>A) This is not possible because each customer is restricted to a single company.<br>B) Leave the ""Company"" field empty on the contact record (Sales & Purchase Tab).<br>C) Enable an option called Accessible to Everyone on the contact.";"✅ <strong>Jawaban: B) Leave the ""Company"" field empty on the contact record (Sales & Purchase Tab).</strong>";"odoo19::introduction"
"<strong>Why can you sort by some fields in a list view but not by others?</strong><br><br>A) You can only sort simple fields, not relational fields.<br>B) You can only sort fields that are not computed.<br>C) You can only sort fields stored in the database.";"✅ <strong>Jawaban: C) You can only sort fields stored in the database.</strong>";"odoo19::introduction"
"<strong>What is the difference between a message/discussion and a log note in the chatter?</strong><br><br>A) A message/discussion is sent to the customer and notifies all followers, while a log note is only visible internally or via @mentions.<br>B) A message/discussion is posted publicly on the record, while a log note is meant for internal updates or team collaboration.<br>C) A message/discussion sends notifications to external contacts, while a log note keeps communication limited to internal followers.";"✅ <strong>Jawaban: C) A message/discussion sends notifications to external contacts, while a log note keeps communication limited to internal followers.</strong>";"odoo19::introduction"
"<strong>What action(s) need to be taken on the Odoo dashboard to order the placement of the icons?</strong><br><br>A) Enable edit mode from the dashboard settings, then use the ""Arrange Apps"" option to drag icons into place.<br>B) Open the user menu, select ""Customize Dashboard,"" and reorder the apps by dragging them in the list view.<br>C) Click on an app icon and hold the mouse button down; the icon will tilt slightly, allowing it to be dragged into a new position within the app grid.";"✅ <strong>Jawaban: C) Click on an app icon and hold the mouse button down; the icon will tilt slightly, allowing it to be dragged into a new position within the app grid.</strong>";"odoo19::introduction"
"<strong>How can you bulk add or remove followers from multiple records in Odoo?</strong><br><br>A) In List View, select the records, click Actions, then choose Add/Remove Followers.<br>B) In Form View, open each record and manage followers individually under the chatter.<br>C) From Settings > Users & Companies, update the follower lists for all related records.";"✅ <strong>Jawaban: A) In List View, select the records, click Actions, then choose Add/Remove Followers.</strong>";"odoo19::introduction"
"<strong>What happens to the fields of secondary contacts when merging into a master contact?</strong><br><br>A) Odoo discards all information from secondary contacts except for linked records.<br>B) Fields in the master record remain, and non-empty fields from the secondary records are merged in.<br>C) All fields from secondary contacts overwrite the data in the master contact.";"✅ <strong>Jawaban: B) Fields in the master record remain, and non-empty fields from the secondary records are merged in.</strong>";"odoo19::introduction"
"<strong>A customer buys a sweater under a pricelist that includes a 10% discount, rounds to the nearest $1.00, and has a -0.10 extra fee. If the sweater's sale price is $99, what is the final cost for this product after applying the pricelist's rules?</strong><br><br>A) $89.10<br>B) $88.90<br>C) $89.99";"✅ <strong>Jawaban: B) $88.90</strong>";"odoo19::sales"
"<strong>Where can you see the profit margin for a given sales order?</strong><br><br>A) Margins are only calculated for all of the orders in each quarter<br>B) Margins for a sales order can be found on the sales order itself, so long as the ""Margins"" checkbox has been ticked in the Sales app settings<br>C) Margins can only be viewed by going to the Reporting header and clicking ""Margins""";"✅ <strong>Jawaban: B) Margins for a sales order can be found on the sales order itself, so long as the ""Margins"" checkbox has been ticked in the Sales app settings</strong>";"odoo19::sales"
"<strong>How do you view Margins in the Sales Analysis dashboard?</strong><br><br>A) Margins are visible by default in this dashboard<br>B) Clear all existing filters and search for ""Margin""<br>C) Click the ""Measures"" drop-down menu and select ""Margin""";"✅ <strong>Jawaban: C) Click the ""Measures"" drop-down menu and select ""Margin""</strong>";"odoo19::sales"
"<strong>What condition must be true when using a default unit of measure and purchase unit of measure?</strong><br><br>A) The two units of measure must share the same reference unit<br>B) The two units of measure cannot share the same reference unit<br>C) The two units of measure must have the same unit name as each other";"✅ <strong>Jawaban: A) The two units of measure must share the same reference unit</strong>";"odoo19::sales"
